feat_3,feat_4
9,17
1,76
1,77
3,68
0,21
5,89
4,63
4,19
1,44
2,48
3,36
3,31
8,41
4,46
1,7
6,78
2,29
0,41
4,40
5,36
6,61
5,5
6,19
5,16
1,84
8,52
3,34
3,68
2,25
9,24
3,19
2,73
7,32
3,67
7,71
7,62
8,10
7,19
2,1
2,54
2,41
3,67
8,35
4,87
4,7
5,80
1,65
6,32
10,6
3,53
9,5
6,43
9,71
2,26
2,35
1,55
3,36
2,62
9,76
3,29
1,54
0,45
1,76
8,82
4,78
9,40
5,27
3,60
5,43
0,31
8,80
7,88
3,48
0,42
5,56
1,19
8,36
7,43
-1,60
5,67
3,17
8,73
9,50
9,44
7,72
8,10
1,29
5,14
6,60
4,69
7,26
9,16
4,14
3,16
-1,13
5,19
2,63
4,80
4,69
2,16
6,57
4,87
8,24
-1,30
5,81
2,45
6,60
1,28
4,73
2,17
8,56
4,37
6,84
4,74
7,24
5,30
6,6
6,36
4,26
3,55
1,65
10,-3
1,63
1,42
2,64
1,4
6,32
4,70
1,50
1,53
6,23
5,91
7,58
9,20
1,11
7,8
7,45
6,90
0,73
2,86
9,11
5,10
1,3
-1,61
2,13
2,79
5,69
5,76
8,92
5,82
7,17
4,41
8,33
10,57
3,93
8,21
3,-3
6,9
2,87
7,76
9,20
7,33
9,28
2,21
7,59
-1,10
2,61
8,58
4,44
4,47
3,32
0,57
4,63
5,4
3,55
9,76
7,26
3,8
4,73
1,29
10,1
5,8
8,17
7,48
8,76
2,63
5,68
8,5
7,80
3,9
5,54
4,43
4,18
5,62
2,12
-1,80
0,90
1,90
2,4
3,78
2,42
6,65
4,59
8,88
4,4
0,26
8,46
6,7
3,25
7,26
8,85
3,11
3,65
4,35
-1,22
0,75
7,59
8,16
10,10
9,26
5,69
1,29
0,44
8,24
5,33
3,85
10,21
4,39
8,37
4,74
2,44
5,86
4,68
6,6
7,25
2,57
4,14
2,43
4,42
-1,74
2,26
6,74
9,87
1,76
1,42
-1,82
4,85
5,2
5,70
3,31
1,37
7,76
8,75
3,77
-1,68
5,64
8,12
3,10
9,88
6,8
9,37
1,19
1,51
6,72
1,14
5,65
4,74
2,94
2,27
3,68
5,41
-1,61
6,66
2,-1
5,11
2,46
8,16
8,89
5,42
7,72
8,29
-1,61
0,11
8,72
2,82
6,5
-1,50
3,26
7,27
7,67
9,-3
6,28
5,28
5,80
4,57
5,84
4,93
7,57
4,86
3,-1
3,23
2,70
-1,44
1,58
7,29
9,65
4,3
2,7
10,55
3,17
8,19
5,22
7,65
1,-2
5,22
2,52
6,66
8,51
5,58
7,42
6,15
1,53
4,39
-1,89
1,75
1,75
7,15
7,71
9,63
6,20
2,14
6,82
2,77
4,8
6,73
8,80
8,-6
6,37
8,53
4,72
9,29
10,41
6,5
3,85
6,60
0,84
1,64
10,89
1,73
0,14
5,85
2,41
9,56
1,62
9,29
2,15
2,82
3,82
0,29
8,16
1,-3
2,8
4,44
5,74
7,87
6,45
5,77
-1,19
8,59
4,23
4,53
2,59
2,10
7,18
8,79
2,58
3,6
5,43
1,0
6,26
3,61
0,8
7,22
2,81
0,56
6,80
1,48
6,39
5,48
1,33
4,27
8,2
6,14
2,38
1,65
6,56
7,13
10,46
7,86
7,1
8,83
3,71
5,38
1,45
6,25
7,68
9,22
1,82
5,72
10,31
7,72
6,75
8,55
5,60
9,61
7,80
8,71
9,85
8,52
3,44
2,87
2,78
0,62
2,61
7,65
9,39
7,38
3,76
7,36
2,66
5,8
2,41
-1,76
4,33
5,36
5,79
0,15
2,64
-1,58
8,27
8,9
7,9
5,81
1,73
9,33
1,0
8,60
1,2
7,32
2,76
5,76
8,70
10,48
4,56
4,79
7,26
10,16
1,3
7,20
8,1
8,72
0,52
4,7
3,-1
8,4
0,-3
2,18
2,0
10,41
2,80
2,11
7,19
8,58
3,33
1,4
9,81
9,52
0,72
9,83
5,10
5,51
1,52
6,59
5,58
8,61
2,5
3,33
6,65
3,69
3,12
0,48
3,18
9,46
8,73
5,34
2,18
7,7
-1,9
10,41
1,45
8,33
-1,24
3,91
3,74
7,10
5,33
5,-3
8,27
7,15
6,26
2,39
3,42
9,85
8,49
7,52
7,74
8,72
7,37
7,33
5,60
0,19
10,31
8,66
7,12
6,30
7,41
8,73
1,87
4,60
4,18
2,73
4,48
7,12
6,1
5,22
5,43
7,87
6,79
7,1
1,68
6,16
2,41
0,52
6,43
2,77
7,79
6,20
4,22
10,37
-1,40
1,22
2,9
9,74
0,39
8,55
2,74
7,84
1,54
6,48
5,76
0,72
3,62
4,25
2,23
0,11
9,24
7,83
7,32
7,83
8,44
7,89
8,21
9,32
9,33
4,-2
9,0
2,73
1,85
8,20
5,80
2,20
1,21
1,39
3,42
5,66
2,19
5,28
6,43
6,55
5,7
8,54
3,84
6,78
4,68
7,46
2,75
6,-6
10,75
7,57
8,-2
1,69
6,49
7,63
5,44
6,32
6,61
2,42
2,0
6,30
9,14
0,25
4,59
5,18
8,90
5,81
6,63
8,63
0,47
9,5
2,48
1,92
1,84
8,66
0,48
3,65
6,88
0,17
-1,70
4,13
6,70
9,13
6,36
0,55
2,77
0,49
8,19
7,74
10,33
1,59
4,32
5,23
7,29
5,28
6,74
3,6
9,49
5,30
2,14
2,22
7,78
6,19
0,49
6,86
0,28
5,38
2,16
9,9
3,82
4,70
6,11
